rheaid	reactionEquation	compoundID_L	compoundID_R	compoundName_L	compoundName_R
RHEA:30251	2 a ubiquinol + n H(+)(in) + O2 = 2 a ubiquinone + n H(+)(out) + 2 H2O	CHEBI:15379,CHEBI:15378,POLYMER:9566	CHEBI:15377,CHEBI:15378,POLYMER:9565	O2,H(+),a ubiquinol	H2O,H(+),a ubiquinone
RHEA:30255	2 a ubiquinol + O2 = 2 a ubiquinone + 2 H2O	CHEBI:15379,POLYMER:9566	CHEBI:15377,POLYMER:9565	O2,a ubiquinol	H2O,a ubiquinone
RHEA:30259	2 a menaquinol + O2 = 2 a menaquinone + 2 H2O	CHEBI:15379,POLYMER:9539	CHEBI:15377,POLYMER:9537	O2,a menaquinol	H2O,a menaquinone
RHEA:30703	H(+) + salicylate = CO2 + phenol	CHEBI:30762,CHEBI:15378	CHEBI:15882,CHEBI:16526	salicylate,H(+)	phenol,CO2
RHEA:30723	A + 2 ADP + H(+) + NH4(+) + 2 phosphate = AH2 + 2 ATP + H2O + hydroxylamine	CHEBI:28938,CHEBI:456216,CHEBI:15378,CHEBI:13193,CHEBI:43474	CHEBI:15377,CHEBI:17499,CHEBI:15429,CHEBI:30616	NH4(+),ADP,H(+),A,phosphate	H2O,AH2,hydroxylamine,ATP
RHEA:30751	ATP + CoA + hexadecanoate = AMP + diphosphate + hexadecanoyl-CoA	CHEBI:57287,CHEBI:7896,CHEBI:30616	CHEBI:33019,CHEBI:456215,CHEBI:57379	CoA,hexadecanoate,ATP	diphosphate,AMP,hexadecanoyl-CoA
RHEA:31355	dimethyl sulfide + H(+) + NADH + O2 = formaldehyde + H2O + methanethiol + NAD(+)	CHEBI:15379,CHEBI:57945,CHEBI:17437,CHEBI:15378	CHEBI:15377,CHEBI:16842,CHEBI:16007,CHEBI:57540	O2,NADH,dimethyl sulfide,H(+)	H2O,formaldehyde,methanethiol,NAD(+)
RHEA:32135	2-oxobutanoate + CoA + 2 oxidized [2Fe-2S]-[ferredoxin] = CO2 + H(+) + propanoyl-CoA + 2 reduced [2Fe-2S]-[ferredoxin]	GENERIC:10000,CHEBI:57287,CHEBI:16763	GENERIC:10001,CHEBI:15378,CHEBI:57392,CHEBI:16526	oxidized [2Fe-2S]-[ferredoxin],CoA,2-oxobutanoate	reduced [2Fe-2S]-[ferredoxin],H(+),propanoyl-CoA,CO2
RHEA:32139	ATP + CoA + malonate = AMP + diphosphate + malonyl-CoA	CHEBI:57287,CHEBI:30616,CHEBI:15792	CHEBI:33019,CHEBI:456215,CHEBI:57384	CoA,ATP,malonate	diphosphate,AMP,malonyl-CoA
RHEA:32291	phosphoethanolamine + 3 S-adenosyl-L-methionine = 3 H(+) + phosphocholine + 3 S-adenosyl-L-homocysteine	CHEBI:58190,CHEBI:59789	CHEBI:15378,CHEBI:57856,CHEBI:295975	phosphoethanolamine,S-adenosyl-L-methionine	H(+),S-adenosyl-L-homocysteine,phosphocholine
RHEA:32467	2 S-adenosyl-L-methionine + sarcosine = betaine + 2 H(+) + 2 S-adenosyl-L-homocysteine	CHEBI:57433,CHEBI:59789	CHEBI:15378,CHEBI:57856,CHEBI:17750	sarcosine,S-adenosyl-L-methionine	H(+),S-adenosyl-L-homocysteine,betaine
RHEA:32475	glycine + 3 S-adenosyl-L-methionine = betaine + 3 H(+) + 3 S-adenosyl-L-homocysteine	CHEBI:57305,CHEBI:59789	CHEBI:15378,CHEBI:57856,CHEBI:17750	glycine,S-adenosyl-L-methionine	H(+),S-adenosyl-L-homocysteine,betaine
RHEA:32783	ATP + betaine(out) + H2O = ADP + betaine(in) + H(+) + phosphate	CHEBI:15377,CHEBI:17750,CHEBI:30616	CHEBI:456216,CHEBI:15378,CHEBI:17750,CHEBI:43474	H2O,betaine,ATP	ADP,H(+),betaine,phosphate
